timestamp,process_cpu_seconds_total,process_resident_memory_bytes,process_cpu_percent
1772884930.534524,0.000000,209027072.00,76.9000
1772884931.542399,0.000000,211484672.00,97.8000
1772884932.566295,0.000000,213598208.00,98.8000
1772884933.588356,0.000000,215597056.00,98.8000
1772884934.605473,0.000000,217579520.00,100.0000
1772884935.622964,0.000000,219480064.00,100.0000
1772884936.643712,0.000000,221364224.00,99.3000
1772884937.668563,0.000000,223363072.00,100.0000
1772884938.696524,0.000000,225345536.00,99.0000
1772884939.722115,0.000000,227377152.00,100.0000
1772884940.747141,0.000000,228802560.00,77.4000
1772884941.783067,0.000000,230096896.00,79.1000
1772884942.803175,0.000000,231276544.00,87.9000
1772884943.828174,0.000000,232816640.00,98.3000
1772884944.850901,0.000000,233979904.00,79.1000
1772884945.869726,0.000000,235388928.00,99.0000
1772884946.894259,0.000000,236830720.00,99.6000
1772884947.916076,0.000000,238190592.00,87.6000
1772884948.942888,0.000000,239271936.00,78.0000
1772884949.966010,0.000000,240517120.00,94.7000
1772884950.990397,0.000000,241909760.00,99.9000
1772884952.017881,0.000000,243286016.00,98.7000
1772884953.042774,0.000000,244629504.00,100.0000
1772884954.070734,0.000000,245956608.00,100.0000
1772884955.098779,0.000000,247332864.00,98.5000
1772884956.123086,0.000000,248659968.00,99.8000
1772884957.143705,0.000000,249987072.00,100.0000
