timestamp,request_id,endpoint,status_code,latency_ms,phase,ground_truth_drift,adaptive_alert,fixed_alert,score,threshold,error
1772861852.755287,51bf2e5aa8887f5cdeb14272,/predict,200,173.7170,normal,0,1,1,0.977063,0.880000,
1772861852.812165,b1731e6f2ea100422a5edd75,/score,200,174.3194,normal,0,1,1,0.964736,0.880000,
1772861852.928257,2d82096170d8dd271f334b2a,/predict,200,173.8596,normal,0,1,1,0.964198,0.880000,
1772861852.928913,49546dae72732edb3483a2d6,/detect_drift,200,174.0221,normal,0,1,1,0.965102,0.880000,
1772861852.929161,7be19d7a6d23eeadb4ac7999,/score,200,174.0784,normal,0,0,0,0.432001,0.880000,
1772861852.929404,2f3984e8170a2818d94f161b,/score,200,174.1082,normal,0,0,0,0.432001,0.880000,
1772861852.986485,5942d38491832405d52af96a,/score,200,174.2999,normal,0,0,0,0.432001,0.880000,
1772861853.103371,faf578a0bb32a8dd9b27720c,/score,200,175.0890,normal,0,0,0,0.432001,0.880000,
1772861853.103871,25105a7ae14fd58484281ae2,/score,200,174.9382,normal,0,1,1,0.992857,0.880000,
1772861853.104051,b422f43a07f4f9c71aa0f636,/score,200,174.8786,normal,0,0,0,0.432001,0.880000,
1772861853.104252,d4786a9a6b6e84b545655d59,/score,200,174.8372,normal,0,1,1,0.966722,0.880000,
1772861853.162128,e582d7f779af9939af6fca05,/score,200,175.6253,normal,0,0,0,0.432001,0.880000,
1772861853.278804,5192417a5803c626f8f7edfe,/detect_drift,200,175.4065,normal,0,1,1,0.990770,0.880000,
1772861853.279294,3031c9374421e5fc49ed852d,/predict,200,175.4111,normal,0,0,0,0.432001,0.880000,
1772861853.279498,8d80047ed9bef05fda2cb05e,/score,200,175.4369,normal,0,0,0,0.432001,0.880000,
1772861853.279717,878a3a59834588fb0d7548b0,/predict,200,175.4560,normal,0,0,0,0.432001,0.880000,
1772861853.338009,f3a3978bfcf156be5de0d0c8,/score,200,175.8595,normal,0,1,1,0.988362,0.880000,
1772861853.454475,9effb56858c1cf64fbfc5c34,/score,200,175.6469,normal,0,0,0,0.432001,0.880000,
1772861853.454711,29345b410029d31ec6a51fba,/score,200,175.4057,normal,0,0,0,0.432001,0.880000,
1772861853.455133,c6429295e1f7b82b329108a1,/predict,200,175.6254,normal,0,1,1,0.994767,0.880000,
1772861853.455371,6da0487c1b12e166de142077,/predict,200,175.6442,normal,0,0,0,0.432001,0.880000,
1772861853.513317,1f48db33918f3c5ad6753515,/predict,200,175.2842,normal,0,1,1,0.997145,0.880000,
1772861853.631073,7c73b00ecdfadd5b1eda09c1,/score,200,176.5728,normal,0,1,1,0.995665,0.880000,
1772861853.631705,7000c032de7bdef1fc601ae1,/score,200,176.9828,normal,0,1,1,0.996584,0.880000,
