timestamp,process_cpu_seconds_total,process_resident_memory_bytes,process_cpu_percent
1772864499.542178,0.000000,205225984.00,76.0000
1772864500.546417,0.000000,208355328.00,95.2000
1772864501.555179,0.000000,210944000.00,95.2000
1772864502.561598,0.000000,212828160.00,96.0000
1772864503.571172,0.000000,214056960.00,95.4000
1772864504.576017,0.000000,215384064.00,93.9000
1772864505.584719,0.000000,216694784.00,99.0000
1772864506.594222,0.000000,204062720.00,94.9000
1772864507.604104,0.000000,190709760.00,99.1000
1772864508.612425,0.000000,191971328.00,96.1000
1772864509.622263,0.000000,193265664.00,98.8000
1772864510.629682,0.000000,194494464.00,95.2000
1772864511.641367,0.000000,195772416.00,100.0000
1772864512.648328,0.000000,196968448.00,95.5000
1772864513.657381,0.000000,198213632.00,99.0000
1772864514.666108,0.000000,199933952.00,96.4000
1772864515.676425,0.000000,201146368.00,95.2000
1772864516.686893,0.000000,202342400.00,95.3000
