timestamp,request_id,endpoint,status_code,latency_ms,phase,ground_truth_drift,drift_evaluated,warning_alert,critical_alert,adaptive_alert,fixed_alert,vote_ratio,psi_component,ks_component,prediction_component,score,threshold,error
1772864499.548763,93fc9c9a80429dc7f1fbe7af,/predict,200,6.4872,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1772864499.553157,6bbbf85ea1dca349d7f4b0a6,/detect_drift,200,10.5480,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.925404,0.880000,
1772864499.553449,299b80bde78bf41e704760cf,/predict,200,10.9159,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1772864499.553839,7b67d6bfa4ab179a929ed146,/score,200,11.4685,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1772864499.554039,5c60adc0f8f7a13061d3d49e,/predict,200,11.5852,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1772864499.554653,64e67bfabdc76848c51feee5,/detect_drift,200,5.8602,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.987782,0.880000,
1772864499.555673,3cb749e8af9d1555d698f97d,/detect_drift,200,2.5025,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.448891,0.880000,
1772864499.560227,eb0b18a5ac485d989b18abc8,/score,200,6.7660,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1772864499.560416,ff07e7c8584b8bfe5963dbd3,/predict,200,5.7527,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1772864499.560816,4c477eee29e4a0acbb1aecc4,/score,200,6.9653,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1772864499.561035,5229a0f4d1feefba377199fe,/score,200,6.9860,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1772864499.561732,dfbea99288bcf2ff0d64e5ae,/score,200,6.0480,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1772864499.562894,a6e41460e796f7f84cc2bbed,/score,200,2.6515,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1772864499.567340,096a9609654741414be1e886,/detect_drift,200,5.5976,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.809429,0.880000,
1772864499.567509,87c236d49d3895a0bdd7d364,/predict,200,7.0817,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1772864499.567871,f34dec01c9c1dc467a8bb170,/score,200,7.0457,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1772864499.568083,de62d753f62ec980c1776149,/score,200,7.0361,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1772864499.568673,bcc37624def410ec3a50ab50,/score,200,5.7700,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1772864499.569873,8a84303bf89b473447d3569e,/score,200,2.5221,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1772864499.574737,353045ea7705d840fc2aa353,/predict,200,6.0546,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1772864499.574928,adfb23a5d0c54ad76151f43c,/predict,200,7.4104,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1772864499.575319,da0ba104255c7031b055879e,/predict,200,7.4391,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1772864499.575546,24020a0ac85d751b9f12a95a,/score,200,7.4543,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1772864499.576149,9ff578bc17968d09f0c97179,/score,200,6.2554,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1772864499.577331,dc0379028a78cd2c58726ac5,/detect_drift,200,2.5778,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.900118,0.880000,
