timestamp,process_cpu_seconds_total,process_resident_memory_bytes,process_cpu_percent
1772862894.324306,0.000000,205963264.00,76.2000
1772862895.328507,0.000000,209076224.00,98.8000
1772862896.336858,0.000000,211599360.00,98.7000
1772862897.346254,0.000000,213401600.00,94.3000
1772862898.354105,0.000000,214663168.00,99.8000
1772862899.364196,0.000000,215973888.00,99.6000
1772862900.373691,0.000000,217219072.00,94.2000
1772862901.382193,0.000000,218464256.00,94.2000
1772862902.392779,0.000000,219676672.00,95.4000
1772862903.402741,0.000000,220938240.00,99.1000
1772862904.412007,0.000000,222232576.00,99.3000
1772862905.420949,0.000000,223461376.00,94.6000
1772862906.429606,0.000000,224739328.00,100.0000
1772862907.437503,0.000000,225984512.00,99.4000
1772862908.447736,0.000000,226967552.00,96.0000
1772862909.455021,0.000000,228278272.00,95.8000
1772862910.466084,0.000000,229441536.00,96.1000
1772862911.473937,0.000000,230653952.00,100.0000
