timestamp,process_cpu_seconds_total,process_resident_memory_bytes,process_cpu_percent
1772883944.208385,0.000000,200949760.00,76.1000
1772883945.213075,0.000000,204046336.00,98.0000
1772883946.221288,0.000000,206684160.00,100.0000
1772883947.228696,0.000000,208486400.00,98.0000
1772883948.236547,0.000000,209649664.00,95.8000
1772883949.245589,0.000000,210993152.00,100.0000
1772883950.252365,0.000000,212271104.00,99.1000
1772883951.261057,0.000000,213499904.00,96.7000
1772883952.269754,0.000000,214794240.00,96.9000
1772883953.278241,0.000000,216006656.00,94.4000
1772883954.283790,0.000000,217268224.00,99.9000
1772883955.294355,0.000000,218464256.00,96.6000
1772883956.304493,0.000000,219709440.00,98.8000
1772883957.313965,0.000000,220938240.00,99.2000
1772883958.323631,0.000000,222101504.00,95.9000
1772883959.331245,0.000000,223182848.00,100.0000
1772883960.338240,0.000000,224313344.00,92.0000
1772883961.349376,0.000000,225427456.00,99.4000
