timestamp,process_cpu_seconds_total,process_resident_memory_bytes,process_cpu_percent
1772861963.345140,0.000000,0.00,0.0000
1772861964.347471,0.000000,0.00,0.0000
1772861965.371661,0.000000,0.00,0.0000
1772861966.408627,0.000000,0.00,0.0000
1772861967.442968,0.000000,0.00,0.0000
1772861968.523729,0.000000,0.00,0.0000
1772861969.561917,0.000000,0.00,0.0000
1772861970.636751,0.000000,0.00,0.0000
1772861971.708028,0.000000,0.00,0.0000
1772861972.758321,0.000000,0.00,0.0000
1772861973.889784,0.000000,0.00,0.0000
1772861974.968020,0.000000,0.00,0.0000
1772861976.092395,0.000000,0.00,0.0000
1772861977.172642,0.000000,0.00,0.0000
1772861978.264505,0.000000,0.00,0.0000
1772861979.334966,0.000000,0.00,0.0000
1772861980.432889,0.000000,0.00,0.0000
