timestamp,request_id,endpoint,status_code,latency_ms,phase,ground_truth_drift,adaptive_alert,fixed_alert,score,threshold,error
1772861963.348508,abc1e519977645ec70df2402,/predict,200,3.2653,normal,0,0,0,0.487690,0.880000,
1772861963.353298,2896808c60440fde6eaa4fee,/predict,200,7.8045,normal,0,1,1,0.970125,0.880000,
1772861963.353465,ffafa87271fa2b18c353ea58,/score,200,8.1354,normal,0,0,0,0.402477,0.880000,
1772861963.353866,8eb6f0e12b5fd3a42672dcf5,/predict,200,8.4538,normal,0,1,1,0.921447,0.880000,
1772861963.354099,532365dfea22e267bc94f0ff,/detect_drift,200,8.5290,normal,0,1,1,0.925404,0.880000,
1772861963.354769,73306f6b6aef069581477fb1,/detect_drift,200,6.2468,normal,0,1,1,0.987782,0.880000,
1772861963.356114,819642b3c03e67d2df95b9e4,/score,200,2.8048,normal,0,1,1,0.983773,0.880000,
1772861963.360659,4cc2ac753a4aca4d52ec6efb,/score,200,6.7828,normal,0,0,0,0.402477,0.880000,
1772861963.360835,d4df7e83248dd8d5faf86ca8,/score,200,7.3574,normal,0,1,1,0.972641,0.880000,
1772861963.361237,27bc5f1ec161fb9b41af1160,/detect_drift,200,7.1282,normal,0,0,0,0.448891,0.880000,
1772861963.361468,ed7b9cde3c9ab196c6e87e9d,/predict,200,6.6859,normal,0,0,0,0.402477,0.880000,
1772861963.362084,ad3d3fa689b57fa464ffcf05,/score,200,5.9585,normal,0,1,1,0.939471,0.880000,
1772861963.363214,a2dd534038ddb54cead877cf,/score,200,2.5435,normal,0,0,0,0.402477,0.880000,
1772861963.367796,1ffd126a66ac0680467541bf,/score,200,6.9510,normal,0,0,0,0.836483,0.880000,
1772861963.368092,c3bed9fff18cc2cf453e25b5,/score,200,5.9985,normal,0,0,0,0.803216,0.880000,
1772861963.368498,4d6c6ac7a7acd61799a1f1cb,/score,200,7.2515,normal,0,1,1,0.901121,0.880000,
1772861963.368703,0ba8245c27dac3e98458dfa4,/predict,200,7.2249,normal,0,0,0,0.402477,0.880000,
1772861963.369294,84b2f6d7fbbef5f523e59b35,/score,200,6.0701,normal,0,1,1,0.977426,0.880000,
1772861963.370321,6d2f90b03112f5365606398b,/predict,200,2.5145,normal,0,1,1,0.995431,0.880000,
1772861963.375000,9c1d4a099b96bb645e900d04,/score,200,5.6949,normal,0,1,1,0.957780,0.880000,
