timestamp,process_cpu_seconds_total,process_resident_memory_bytes,process_cpu_percent
1772863428.891879,0.000000,206422016.00,76.5000
1772863429.896368,0.000000,209321984.00,94.3000
1772863430.901626,0.000000,211894272.00,100.0000
1772863431.911565,0.000000,213680128.00,93.7000
1772863432.922816,0.000000,214941696.00,93.8000
1772863433.932520,0.000000,216252416.00,98.1000
1772863434.938720,0.000000,217513984.00,98.6000
1772863435.947472,0.000000,218824704.00,98.4000
1772863436.954808,0.000000,220069888.00,94.3000
1772863437.962196,0.000000,221347840.00,100.0000
1772863438.971893,0.000000,222593024.00,94.7000
1772863439.983724,0.000000,223805440.00,94.8000
1772863440.993856,0.000000,225034240.00,94.5000
1772863442.005679,0.000000,226230272.00,99.1000
1772863443.014951,0.000000,227393536.00,95.7000
1772863444.023633,0.000000,228442112.00,95.2000
1772863445.030617,0.000000,229736448.00,98.8000
1772863446.039572,0.000000,230883328.00,95.7000
