timestamp,request_id,endpoint,status_code,latency_ms,phase,ground_truth_drift,drift_evaluated,warning_alert,critical_alert,adaptive_alert,fixed_alert,score,threshold,error
1772863428.898423,aa5e55dfb31f671191f0d778,/predict,200,6.3433,normal,0,0,0,0,0,0,0.000000,0.000000,
1772863428.903017,0871107f1265dc4cf5507092,/detect_drift,200,10.6101,normal,0,0,0,0,0,0,0.925404,0.880000,
1772863428.903199,b03458099b3823f999096831,/score,200,11.0316,normal,0,0,0,0,0,0,0.000000,0.000000,
1772863428.903610,505581e702e299a58124fe2a,/predict,200,11.2803,normal,0,0,0,0,0,0,0.000000,0.000000,
1772863428.903850,157a780677cd6deb50f1b2f1,/predict,200,11.6011,normal,0,0,0,0,0,0,0.000000,0.000000,
1772863428.904490,6cb500f9058393673dea2029,/detect_drift,200,6.0394,normal,0,0,0,0,0,0,0.987782,0.880000,
1772863428.905670,96c911092b0ace14cffc0f9c,/detect_drift,200,2.6408,normal,0,0,0,0,0,0,0.448891,0.880000,
1772863428.910387,7b6ab68797a2992b18d632d6,/score,200,7.1753,normal,0,0,0,0,0,0,0.000000,0.000000,
1772863428.910563,ddc85b4b176d8838fd6f6730,/score,200,6.9417,normal,0,0,0,0,0,0,0.000000,0.000000,
1772863428.910963,9046fce5f08805c8f64ee81a,/predict,200,6.4632,normal,0,0,0,0,0,0,0.000000,0.000000,
1772863428.911188,5bdf7acaafa6f4cda5ec9dd9,/score,200,7.3277,normal,0,0,0,0,0,0,0.000000,0.000000,
1772863428.911821,a5c3741f6f20615a9b17b867,/score,200,6.1404,normal,0,0,0,0,0,0,0.000000,0.000000,
1772863428.912986,55cf228a11ca06e128bb1ca8,/score,200,2.5880,normal,0,0,0,0,0,0,0.000000,0.000000,
1772863428.917628,3cc52e04d726f281b1543518,/detect_drift,200,5.7963,normal,0,0,0,0,0,0,0.809429,0.880000,
1772863428.917798,4295c53d7b1da442166eaa2b,/score,200,7.2245,normal,0,0,0,0,0,0,0.000000,0.000000,
1772863428.918194,93b92a41cd398736592eba5b,/predict,200,7.2205,normal,0,0,0,0,0,0,0.000000,0.000000,
1772863428.918407,31d5aafd69fc2c36145d7e3e,/score,200,7.2096,normal,0,0,0,0,0,0,0.000000,0.000000,
1772863428.919093,2c45afd618f8be25d4a26742,/predict,200,6.0970,normal,0,0,0,0,0,0,0.000000,0.000000,
1772863428.920235,c40bb884215b5a37270da4f6,/score,200,2.5976,normal,0,0,0,0,0,0,0.000000,0.000000,
1772863428.924973,25371304d0bf632a6565de07,/score,200,5.8664,normal,0,0,0,0,0,0,0.000000,0.000000,
1772863428.925529,16ae0f1c9a7b2bb6984a23cf,/score,200,7.7212,normal,0,0,0,0,0,0,0.000000,0.000000,
1772863428.925732,e53631d2262c4c79b8c546c5,/predict,200,7.5292,normal,0,0,0,0,0,0,0.000000,0.000000,
1772863428.926098,d7b2e13b99a23a3df9cd2648,/score,200,7.6819,normal,0,0,0,0,0,0,0.000000,0.000000,
1772863428.926793,f2da3bdbf8a2f4f7450c697f,/score,200,6.5458,normal,0,0,0,0,0,0,0.000000,0.000000,
1772863428.927729,2db851f61a0d6d4788fa3b34,/score,200,2.7445,normal,0,0,0,0,0,0,0.000000,0.000000,
1772863428.932590,ef5dd3ffe083a01a20984f1a,/predict,200,5.7882,normal,0,0,0,0,0,0,0.000000,0.000000,
1772863428.932960,56e9b9e180634ee05125d245,/predict,200,7.4194,normal,0,0,0,0,0,0,0.000000,0.000000,
1772863428.933166,a773059bbcee4d2b5e1b8203,/score,200,7.4242,normal,0,0,0,0,0,0,0.000000,0.000000,
1772863428.933531,6ed472d77cf8ee4d76c70444,/score,200,7.4216,normal,0,0,0,0,0,0,0.000000,0.000000,
1772863428.934195,f52705f34d1dd035ce3c9bd4,/detect_drift,200,6.4564,normal,0,0,0,0,0,0,0.664485,0.880000,
1772863428.935097,2a6243ce6ed344f34a7af9b3,/detect_drift,200,2.4957,normal,0,0,0,0,0,0,0.490218,0.880000,
1772863428.939749,7d31e535b74edd5a21d2eac9,/predict,200,5.5451,normal,0,0,0,0,0,0,0.000000,0.000000,
1772863428.940123,fea74aab2ecf685f8dc50b88,/detect_drift,200,7.1529,normal,0,0,0,0,0,0,0.900118,0.880000,
1772863428.940349,191f0dc71778b080de486a0b,/predict,200,7.1725,normal,0,0,0,0,0,0,0.000000,0.000000,
1772863428.940750,614f5d36011a058914125356,/predict,200,7.2105,normal,0,0,0,0,0,0,0.000000,0.000000,
1772863428.941484,319d914db92db2dec488c6fa,/score,200,6.3770,normal,0,0,0,0,0,0,0.000000,0.000000,
1772863428.942430,4a7a7dd08e40997fe9dbe7a6,/predict,200,2.6705,normal,0,0,0,0,0,0,0.000000,0.000000,
1772863428.947117,0b0fdff87bac17121e125c03,/predict,200,5.6205,normal,0,0,0,0,0,0,0.000000,0.000000,
1772863428.947579,534af9c33eccd0450a1231b5,/score,200,7.4469,normal,0,0,0,0,0,0,0.000000,0.000000,
1772863428.947788,51c8d2070992e3bab702df9c,/score,200,7.4228,normal,0,0,0,0,0,0,0.000000,0.000000,
1772863428.947996,945d789026cfaee8fd451e30,/score,200,7.2321,normal,0,0,0,0,0,0,0.000000,0.000000,
