timestamp,process_cpu_seconds_total,process_resident_memory_bytes,process_cpu_percent
1772862013.932998,0.000000,204619776.00,76.2000
1772862014.937591,0.000000,207241216.00,97.0000
1772862015.983265,0.000000,207880192.00,100.0000
1772862017.023333,0.000000,208289792.00,100.0000
1772862018.078095,0.000000,208601088.00,99.5000
1772862019.147215,0.000000,208863232.00,99.3000
1772862020.227661,0.000000,207601664.00,98.8000
1772862021.328100,0.000000,207847424.00,99.1000
1772862022.411922,0.000000,208060416.00,100.0000
1772862023.482932,0.000000,208240640.00,98.6000
1772862024.600915,0.000000,208486400.00,98.5000
1772862025.701846,0.000000,208879616.00,97.1000
1772862026.816213,0.000000,208994304.00,100.0000
1772862027.894874,0.000000,202489856.00,98.6000
1772862029.052329,0.000000,202637312.00,100.0000
1772862030.166378,0.000000,202784768.00,98.4000
1772862031.289006,0.000000,200179712.00,100.0000
