timestamp,request_id,endpoint,status_code,latency_ms,phase,ground_truth_drift,adaptive_alert,fixed_alert,score,threshold,error
1772862013.939511,cb1b4d6c42f956b7f39c73e8,/predict,200,6.3305,normal,0,0,0,0.487690,0.880000,
1772862013.944020,3973d9321ed341e8f530263f,/predict,200,10.6709,normal,0,1,1,0.921447,0.880000,
1772862013.944408,2aa43afdaaa27b02f81ad2a5,/score,200,11.1390,normal,0,0,0,0.402477,0.880000,
1772862013.944607,70a542fd7b2b0270b5fb0ae5,/detect_drift,200,11.1013,normal,0,1,1,0.925404,0.880000,
1772862013.944965,dafb787a90657f90eab7b59e,/predict,200,11.5365,normal,0,1,1,0.970125,0.880000,
1772862013.945649,1207f7cb09f66bfa38e36f9e,/detect_drift,200,6.1092,normal,0,1,1,0.987782,0.880000,
1772862013.946525,58b45a08795296b18f30ed4c,/score,200,2.4907,normal,0,0,0,0.402477,0.880000,
1772862013.951302,3ffd1085433087746590a55b,/score,200,6.8807,normal,0,1,1,0.972641,0.880000,
1772862013.951476,7a3ab3bb6d16ef6cb94a64d3,/score,200,6.5012,normal,0,1,1,0.983773,0.880000,
1772862013.951876,b32ad591811703a3ca1e68bf,/predict,200,6.2175,normal,0,0,0,0.402477,0.880000,
1772862013.952101,950d13281d0e6d8956c62bf4,/detect_drift,200,7.4838,normal,0,0,0,0.448891,0.880000,
1772862013.952686,f00578715882b76d6960d65b,/score,200,6.1515,normal,0,0,0,0.402477,0.880000,
1772862013.953905,ba1068d69d6b9573e02cb27a,/score,200,2.5920,normal,0,0,0,0.836483,0.880000,
1772862013.958552,1d743fb99890d32c76299366,/score,200,5.8565,normal,0,1,1,0.977426,0.880000,
1772862013.959027,499d4eeac7739c0390236201,/score,200,7.5407,normal,0,1,1,0.939471,0.880000,
1772862013.959252,09c09bce0ebe08270bb289d2,/predict,200,7.3668,normal,0,0,0,0.402477,0.880000,
1772862013.959482,dcea0d34090bc4bdbecde6ca,/score,200,7.3716,normal,0,1,1,0.901121,0.880000,
1772862013.960121,414fd866b459225c3946b15f,/predict,200,6.2000,normal,0,1,1,0.995431,0.880000,
1772862013.961303,fed3fb28ac035c34c3e3477b,/score,200,2.7390,normal,0,1,1,0.957467,0.880000,
1772862013.965936,1829ab9b21ec96785d525263,/score,200,5.8053,normal,0,1,1,0.889286,0.880000,
1772862013.966320,c53f9fc0e02b8310e472cf4a,/detect_drift,200,6.8273,normal,0,0,0,0.809429,0.880000,
1772862013.966534,1b491251e66923b80a09a699,/predict,200,7.2721,normal,0,1,1,0.891264,0.880000,
1772862013.966880,5e8a1e00a44385878f1115a2,/score,200,7.8417,normal,0,0,0,0.803216,0.880000,
1772862013.967539,d80cf18ed671da7d48229a5c,/predict,200,6.2260,normal,0,0,0,0.402477,0.880000,
1772862013.968688,76858d1785a6c554b7c11667,/score,200,2.7424,normal,0,0,0,0.402477,0.880000,
1772862013.973509,b9074ea385373be4d5693fd2,/score,200,5.9554,normal,0,0,0,0.433450,0.880000,
1772862013.973692,3daa3c9bed9caf770482bd73,/score,200,7.3620,normal,0,0,0,0.761293,0.880000,
1772862013.974103,5357a6dc80b86359ab3cfe1b,/score,200,7.5597,normal,0,0,0,0.417574,0.880000,
1772862013.974319,91b8f384109c26a512e6b8cb,/predict,200,7.4296,normal,0,1,1,0.985652,0.880000,
1772862013.974969,6910c324496f0b31311a1b26,/detect_drift,200,6.2663,normal,0,0,0,0.664485,0.880000,
1772862013.976058,f583ae87c6951de7a6c9e223,/detect_drift,200,2.5379,normal,0,0,0,0.402477,0.880000,
1772862013.980786,52b6767aa2d6f0763eadfbd8,/predict,200,5.8066,normal,0,1,1,0.902149,0.880000,
1772862013.981240,7acb4bd84423aa4e1059cdaa,/detect_drift,200,6.9107,normal,0,1,1,0.900118,0.880000,
1772862013.981440,132188cf44123d8d1e810edd,/predict,200,7.3256,normal,0,0,0,0.419899,0.880000,
1772862013.981658,866a71a52629ce979b8fd2ec,/score,200,7.9552,normal,0,0,0,0.416091,0.880000,
1772862013.982289,de10e04f62241710aeebe8c1,/predict,200,6.2207,normal,0,1,1,0.976452,0.880000,
1772862013.983471,df1fb77dfd0d865119beabcd,/predict,200,2.6754,normal,0,0,0,0.402477,0.880000,
1772862013.988165,592e2827ec6a60aa789139fb,/score,200,5.8576,normal,0,0,0,0.856154,0.880000,
1772862013.988342,62acd3e8c86ca9b8d76930cf,/score,200,7.0926,normal,0,1,1,0.914023,0.880000,
1772862013.988767,2f00b24c28fe319095cc336a,/score,200,7.3179,normal,0,0,0,0.402477,0.880000,
1772862013.989000,ef2b4496f7187a06c72fc6e6,/predict,200,7.3325,normal,0,1,1,0.985452,0.880000,
1772862013.989792,b2ae989a3ab2f3f8b64e4eb1,/detect_drift,200,6.3117,normal,0,1,1,0.993731,0.880000,
1772862013.990890,81447b239fc7cd97f7685788,/predict,200,2.7152,normal,0,0,0,0.701861,0.880000,
1772862013.995353,8b0252f5e9e9bf02ac270d92,/score,200,5.5489,normal,0,0,0,0.724756,0.880000,
1772862013.995532,adb893334404eec7e30f5102,/detect_drift,200,6.5222,normal,0,0,0,0.490218,0.880000,
1772862013.995902,24532b466bd1cf019806b1c6,/score,200,7.1257,normal,0,0,0,0.420426,0.880000,
1772862013.996109,6ad96c965297fe56b3efb311,/score,200,7.7556,normal,0,0,0,0.863409,0.880000,
1772862013.996738,691bc4194d6dfa6031b750af,/score,200,5.8380,normal,0,1,1,0.921416,0.880000,
1772862013.997912,d155a1fb24938f3adc967701,/score,200,2.5489,normal,0,1,1,0.986829,0.880000,
1772862014.002588,c95ea5cac846322b276ab69a,/score,200,5.8410,normal,0,0,0,0.456144,0.880000,
1772862014.002752,6a560128f8c3a272e78b5396,/score,200,7.2094,normal,0,1,1,0.993233,0.880000,
1772862014.003149,db343b3a1f75d335dabd8520,/predict,200,7.2371,normal,0,1,1,0.934163,0.880000,
1772862014.003378,f630648e51b5d5e47f8a3ace,/score,200,7.2599,normal,0,0,0,0.836480,0.880000,
1772862014.004008,66a8210f421353c6305ad653,/score,200,6.0860,normal,0,0,0,0.573196,0.880000,
