timestamp,request_id,endpoint,status_code,latency_ms,phase,ground_truth_drift,drift_evaluated,adaptive_alert,fixed_alert,score,threshold,error
1772862988.381469,b3596479929d522cb062c956,/predict,200,7.3310,normal,0,0,0,0,0.000000,0.000000,
1772862988.382129,96609743ec289323efbd9b29,/score,200,6.2445,normal,0,0,0,0,0.000000,0.000000,
1772862988.383190,570e5936d54bf5004abd14d7,/predict,200,2.5013,normal,0,0,0,0,0.000000,0.000000,
1772862988.388192,ef44994fab22155f0e0e0335,/score,200,6.0528,normal,0,0,0,0,0.000000,0.000000,
1772862988.388374,0b32df1ef4ba7f00a727808f,/predict,200,7.5213,normal,0,0,0,0,0.000000,0.000000,
1772862988.388760,563b54d3fb5affefd9fdb6dc,/score,200,7.5038,normal,0,0,0,0,0.000000,0.000000,
1772862988.388992,469afce1b55274264cdd59c6,/detect_drift,200,7.5140,normal,0,0,0,0,0.993731,0.880000,
1772862988.389606,acd11ff05b737a6962d5e454,/score,200,6.4063,normal,0,0,0,0,0.000000,0.000000,
1772862988.390846,8486bf4bb092e11ace0e73a8,/score,200,2.6378,normal,0,0,0,0,0.000000,0.000000,
1772862988.395522,4131cb0507cb89fd67e119f9,/score,200,6.5208,normal,0,0,0,0,0.000000,0.000000,
1772862988.395706,5f7f70c1e53452725ad5fb6c,/score,200,7.3230,normal,0,0,0,0,0.000000,0.000000,
1772862988.396114,2fa2765a2f9e129718f7ab84,/predict,200,7.3442,normal,0,0,0,0,0.000000,0.000000,
1772862988.396335,5e17fbc0d79402930242a999,/score,200,6.7190,normal,0,0,0,0,0.000000,0.000000,
1772862988.396970,a7d0a8429e876cb48deb365f,/predict,200,6.1122,normal,0,0,0,0,0.000000,0.000000,
1772862988.398175,d3d4ecf577fc192abab55cb8,/score,200,2.6400,normal,0,0,0,0,0.000000,0.000000,
1772862988.402858,5d6611be861fa861f2f17b5a,/score,200,5.8786,normal,0,0,0,0,0.000000,0.000000,
1772862988.403041,1a994ae12e7a3d379f740200,/score,200,7.3237,normal,0,0,0,0,0.000000,0.000000,
1772862988.403454,fa9fb169b9243889eface5b2,/score,200,7.3291,normal,0,0,0,0,0.000000,0.000000,
1772862988.403686,29e0ec00bd138d11552cf8ec,/predict,200,7.3374,normal,0,0,0,0,0.000000,0.000000,
1772862988.404338,978cc79ce0849a979138275c,/score,200,6.1534,normal,0,0,0,0,0.000000,0.000000,
1772862988.405497,9c9fc3ffea6d7519f7411eb9,/score,200,2.6273,normal,0,0,0,0,0.000000,0.000000,
1772862988.410275,041a543630aae0a1a6c2d7f7,/predict,200,6.5794,normal,0,0,0,0,0.000000,0.000000,
1772862988.410433,2e248bb55454a2ceb0b6d679,/score,200,7.3822,normal,0,0,0,0,0.000000,0.000000,
1772862988.410839,b42203565f959b957a07291c,/detect_drift,200,7.3750,normal,0,0,0,0,0.485405,0.880000,
1772862988.411053,5005224ea3cfc4ef78316678,/detect_drift,200,6.7064,normal,0,0,0,0,0.992238,0.880000,
1772862988.411728,1f42b1bb5e73dfda71a4a005,/score,200,6.2225,normal,0,0,0,0,0.000000,0.000000,
1772862988.412758,16c3dadcb20ec2e90ea9c15b,/score,200,2.4732,normal,0,0,0,0,0.000000,0.000000,
1772862988.417468,a28e206fcff453cecfc56b8e,/detect_drift,200,5.7297,normal,0,0,0,0,0.567560,0.880000,
1772862988.417647,62c94b0d12d73d38853a3dca,/score,200,7.2044,normal,0,0,0,0,0.000000,0.000000,
1772862988.418265,97ab06ed6dea89d581151c62,/score,200,7.4170,normal,0,0,0,0,0.000000,0.000000,
1772862988.418483,8f1b9100ddd6c215fda26b85,/score,200,7.4199,normal,0,0,0,0,0.000000,0.000000,
1772862988.419097,e147393c2975e76f44e65908,/predict,200,6.3282,normal,0,0,0,0,0.000000,0.000000,
1772862988.420317,1de2dd51e7bc4526f7aa8d64,/predict,200,2.8387,normal,0,0,0,0,0.000000,0.000000,
1772862988.424761,da9b074a5e156a86d754d43b,/score,200,6.2690,normal,0,0,0,0,0.000000,0.000000,
1772862988.424918,ad37fa78e46426989bb968e5,/score,200,7.2613,normal,0,0,0,0,0.000000,0.000000,
1772862988.425308,9446a852aad4177047773194,/score,200,7.0328,normal,0,0,0,0,0.000000,0.000000,
