timestamp,process_cpu_seconds_total,process_resident_memory_bytes,process_cpu_percent
1772862988.317483,0.000000,205717504.00,76.6000
1772862989.321947,0.000000,208601088.00,96.0000
1772862990.331744,0.000000,211156992.00,96.7000
1772862991.341123,0.000000,212942848.00,97.7000
1772862992.354814,0.000000,214237184.00,96.0000
1772862993.366934,0.000000,215449600.00,95.7000
1772862994.371974,0.000000,216711168.00,95.4000
1772862995.380432,0.000000,217989120.00,100.0000
1772862996.390520,0.000000,219217920.00,96.3000
1772862997.400994,0.000000,220446720.00,96.1000
1772862998.411141,0.000000,221675520.00,95.8000
1772862999.417539,0.000000,222937088.00,97.5000
1772863000.428420,0.000000,224133120.00,95.8000
1772863001.438484,0.000000,225312768.00,95.4000
1772863002.448412,0.000000,226525184.00,99.6000
1772863003.457594,0.000000,227573760.00,96.9000
1772863004.464780,0.000000,228769792.00,96.6000
1772863005.474399,0.000000,229965824.00,100.0000
