timestamp,process_cpu_seconds_total,process_resident_memory_bytes,process_cpu_percent
1772884766.378062,0.000000,199114752.00,76.3000
1772884767.384825,0.000000,202391552.00,99.0000
1772884768.412120,0.000000,205045760.00,88.6000
1772884769.441130,0.000000,207060992.00,83.7000
1772884770.495999,0.000000,209059840.00,98.2000
1772884771.515849,0.000000,210665472.00,99.2000
1772884772.537053,0.000000,212238336.00,98.8000
1772884773.559330,0.000000,213876736.00,99.9000
1772884774.584896,0.000000,215449600.00,100.0000
1772884775.614332,0.000000,217088000.00,99.4000
1772884776.639711,0.000000,218628096.00,100.0000
1772884777.663719,0.000000,220168192.00,100.0000
1772884778.689613,0.000000,221528064.00,99.3000
1772884779.711799,0.000000,223019008.00,99.9000
1772884780.738438,0.000000,224477184.00,100.0000
1772884781.762909,0.000000,225935360.00,99.3000
1772884782.783998,0.000000,227328000.00,96.8000
1772884783.811059,0.000000,228720640.00,100.0000
1772884784.830143,0.000000,230096896.00,100.0000
1772884785.858252,0.000000,231505920.00,99.6000
1772884786.886867,0.000000,232865792.00,100.0000
1772884787.916016,0.000000,234225664.00,99.9000
1772884788.942705,0.000000,235569152.00,100.0000
1772884789.965853,0.000000,236830720.00,99.8000
1772884790.985262,0.000000,238157824.00,100.0000
1772884792.007424,0.000000,239468544.00,100.0000
1772884793.034383,0.000000,240746496.00,99.7000
