timestamp,process_cpu_seconds_total,process_resident_memory_bytes,process_cpu_percent
1772884030.814312,0.000000,200015872.00,76.1000
1772884031.818819,0.000000,203194368.00,98.5000
1772884032.826520,0.000000,205668352.00,95.5000
1772884033.835930,0.000000,207470592.00,93.0000
1772884034.841352,0.000000,208699392.00,95.2000
1772884035.848218,0.000000,210010112.00,94.5000
1772884036.853300,0.000000,211288064.00,98.8000
1772884037.860724,0.000000,212566016.00,99.9000
1772884038.868934,0.000000,213843968.00,100.0000
1772884039.877105,0.000000,215154688.00,100.0000
1772884040.887169,0.000000,216465408.00,100.0000
1772884041.895560,0.000000,217677824.00,94.9000
1772884042.903055,0.000000,218873856.00,95.2000
1772884043.912565,0.000000,220119040.00,96.1000
1772884044.921931,0.000000,221118464.00,94.8000
1772884045.928800,0.000000,222330880.00,94.4000
1772884046.938680,0.000000,223494144.00,93.6000
1772884047.945867,0.000000,224657408.00,95.1000
