timestamp,process_cpu_seconds_total,process_resident_memory_bytes,process_cpu_percent
1772862776.748558,0.000000,205684736.00,75.7000
1772862777.753609,0.000000,208551936.00,93.6000
1772862778.758343,0.000000,211156992.00,99.0000
1772862779.767252,0.000000,213008384.00,97.0000
1772862780.778407,0.000000,214286336.00,94.3000
1772862781.784467,0.000000,215646208.00,100.0000
1772862782.793671,0.000000,216907776.00,98.7000
1772862783.801883,0.000000,218136576.00,95.2000
1772862784.811594,0.000000,219365376.00,95.2000
1772862785.818036,0.000000,220610560.00,94.8000
1772862786.823796,0.000000,221872128.00,99.7000
1772862787.834411,0.000000,223150080.00,97.7000
1772862788.842359,0.000000,224362496.00,95.8000
1772862789.849785,0.000000,225591296.00,100.0000
1772862790.859311,0.000000,226639872.00,96.0000
1772862791.869404,0.000000,227868672.00,97.6000
1772862792.878894,0.000000,229064704.00,96.2000
1772862793.883867,0.000000,230309888.00,100.0000
