timestamp,request_id,endpoint,status_code,latency_ms,phase,ground_truth_drift,adaptive_alert,fixed_alert,score,threshold,error
1772862776.755298,ff276a7ad7393ccd5ecc62f2,/predict,200,6.5432,normal,0,0,0,0.000000,0.000000,
1772862776.759926,49512440fa30e555eae691c1,/score,200,11.0807,normal,0,0,0,0.000000,0.000000,
1772862776.760093,abd5b4c9a7e6aeb26f28bcb6,/predict,200,11.0812,normal,0,0,0,0.000000,0.000000,
1772862776.760499,17e8075b7f4b963a3f035414,/predict,200,11.5698,normal,0,0,0,0.000000,0.000000,
1772862776.760729,5ab0ae8905fc66de88967322,/detect_drift,200,11.6363,normal,0,0,0,0.925404,0.880000,
1772862776.761377,9afc5039f18818841b3ae0fb,/detect_drift,200,6.0496,normal,0,0,0,0.987782,0.880000,
1772862776.762642,dade81479b331f7f5a26eab7,/score,200,2.7022,normal,0,0,0,0.000000,0.000000,
1772862776.767681,896686ffcc09ea09a03f78c8,/score,200,7.5748,normal,0,0,0,0.000000,0.000000,
1772862776.767910,d698e85eb57e5badeee14189,/score,200,7.4018,normal,0,0,0,0.000000,0.000000,
1772862776.768314,54d27dbe6a98c5549360e4da,/predict,200,6.9228,normal,0,0,0,0.000000,0.000000,
1772862776.768537,e0544277f9e1b126e32e5825,/detect_drift,200,7.7993,normal,0,0,0,0.448891,0.880000,
1772862776.769190,9181b8551240e007c4fc03c1,/score,200,6.5375,normal,0,0,0,0.000000,0.000000,
1772862776.770417,fdddd4e94580ee44d3113851,/score,200,2.7155,normal,0,0,0,0.000000,0.000000,
1772862776.774956,e17af509f8c897d07b5e6f83,/score,200,7.0356,normal,0,0,0,0.000000,0.000000,
1772862776.775132,4b8e1d1588aa5a27385cfb7e,/predict,200,5.9318,normal,0,0,0,0.000000,0.000000,
1772862776.775516,a5d859c13ab4507495ee6d10,/predict,200,7.1918,normal,0,0,0,0.000000,0.000000,
1772862776.775706,a794b1c87e2c3187c637414b,/score,200,7.1591,normal,0,0,0,0.000000,0.000000,
1772862776.776242,fa31f60f8a9a86d8451dd11b,/score,200,5.8160,normal,0,0,0,0.000000,0.000000,
1772862776.777526,5d5557adc3d0833b7435bd42,/score,200,2.5578,normal,0,0,0,0.000000,0.000000,
