timestamp,process_cpu_seconds_total,process_resident_memory_bytes,process_cpu_percent
1772863362.595006,0.000000,199917568.00,76.3000
1772863363.601348,0.000000,203046912.00,94.1000
1772863364.611428,0.000000,205520896.00,88.6000
1772863365.621252,0.000000,207421440.00,98.1000
1772863366.631761,0.000000,208683008.00,94.7000
1772863367.641777,0.000000,209960960.00,95.4000
1772863368.647038,0.000000,211222528.00,95.9000
1772863369.654345,0.000000,212516864.00,96.4000
1772863370.660548,0.000000,213827584.00,99.4000
1772863371.669126,0.000000,215105536.00,98.8000
1772863372.679160,0.000000,216399872.00,99.0000
1772863373.689102,0.000000,217628672.00,94.6000
1772863374.695021,0.000000,218923008.00,100.0000
1772863375.704069,0.000000,220086272.00,96.7000
1772863376.710202,0.000000,221331456.00,100.0000
1772863377.717839,0.000000,222380032.00,95.2000
1772863378.725268,0.000000,223608832.00,96.3000
1772863379.732481,0.000000,224804864.00,96.4000
