timestamp,process_cpu_seconds_total,process_resident_memory_bytes,process_cpu_percent
1772864706.121446,0.000000,206635008.00,76.2000
1772864707.126127,0.000000,209829888.00,97.9000
1772864708.134762,0.000000,212418560.00,100.0000
1772864709.144488,0.000000,214269952.00,98.5000
1772864710.153889,0.000000,215547904.00,99.4000
1772864711.164260,0.000000,216891392.00,99.5000
1772864712.172091,0.000000,218169344.00,99.3000
1772864713.180816,0.000000,219480064.00,99.7000
1772864714.188851,0.000000,220774400.00,100.0000
1772864715.197206,0.000000,221429760.00,97.9000
1772864716.206643,0.000000,222674944.00,99.1000
1772864717.216102,0.000000,223952896.00,99.1000
1772864718.225661,0.000000,225214464.00,99.7000
1772864719.233059,0.000000,225984512.00,99.9000
1772864720.243428,0.000000,227000320.00,99.5000
1772864721.253808,0.000000,228098048.00,98.5000
1772864722.262700,0.000000,204800000.00,95.5000
1772864723.271909,0.000000,201211904.00,99.1000
