timestamp,request_id,endpoint,status_code,latency_ms,phase,ground_truth_drift,drift_evaluated,warning_alert,critical_alert,adaptive_alert,fixed_alert,vote_ratio,psi_component,ks_component,prediction_component,score,threshold,error
1772864706.128508,a7254930e3091f51fda70fce,/predict,200,6.9555,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1772864706.133771,7e198b0aff978eb188c00321,/detect_drift,200,11.8846,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.925404,0.880000,
1772864706.134308,114ce65708ff23e9f4484654,/score,200,12.6671,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1772864706.134526,f65465378bda31d0cb8f5836,/predict,200,12.7210,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1772864706.134775,eac9392af30ce8a755575275,/predict,200,13.0528,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1772864706.135454,37d7425fa96d6bed3dd9e47c,/detect_drift,200,6.9097,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.987782,0.880000,
1772864706.136718,d4645f04b9bf44a6ee80998b,/detect_drift,200,2.9250,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.448891,0.880000,
1772864706.141511,7418917cfb6bcb5611b9b2cc,/predict,200,6.0450,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1772864706.142021,39bd5cc3e6ed4e6f58eba26b,/score,200,7.6967,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1772864706.142234,b3582f07d95d1e1b53668ada,/score,200,7.6961,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1772864706.142477,8f8cd8f6081092e6184ccfa5,/score,200,7.6883,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1772864706.143136,633606d2dcc141942ddf376c,/score,200,6.4060,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1772864706.144412,eff0c1121250abe730db6240,/predict,200,2.8834,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1772864706.148189,3fa8cb47d51fb244d1a8b113,/detect_drift,200,5.0419,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.809429,0.880000,
1772864706.148380,b8e5dc9cfc1c7ae0001204f0,/score,200,6.3465,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1772864706.148706,2e685d89c4dc24ec0d05701c,/score,200,6.2190,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1772864706.150788,d46f10ff655bc8630e2aeb07,/predict,200,6.3654,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1772864706.151086,e55a6023876b5284174dd418,/score,200,8.8412,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1772864706.154364,fcbdcaddd3bba39e101bc73e,/score,200,6.1604,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1772864706.154648,d2f91ea2986439a89bf68497,/predict,200,6.2571,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1772864706.154994,abfc876ac166ff0df527bf0e,/score,200,6.2777,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1772864706.156794,5d09867fe5bf5b60d5313f69,/score,200,5.9917,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1772864706.157105,c85c76c97eb636db374c2aaa,/score,200,6.0082,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1772864706.160915,671899b852a3e9d2861880cd,/score,200,6.5390,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1772864706.161329,4b893775da25ef5402e86134,/score,200,6.3247,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1772864706.161541,f7dbaf20731087da9605294a,/score,200,6.8830,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1772864706.163602,41a842bc1a807c639efcc73c,/predict,200,6.7935,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1772864706.163906,11937404abd2da0b6cb40d56,/predict,200,6.7897,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1772864706.167381,b95e809f8aafcecce6451beb,/predict,200,6.4515,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1772864706.167605,3e73239b6e8df9f01367d468,/predict,200,6.2650,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1772864706.167950,775aef2bcb4ae99c834d241d,/score,200,6.3986,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1772864706.169689,6429d47db9a0acc6107486b6,/score,200,6.0737,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1772864706.169989,4e79c78a411d7edf9fcd86fa,/detect_drift,200,6.0725,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.900118,0.880000,
1772864706.173316,42b4670f0e71a899b56b12ad,/detect_drift,200,5.9122,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.490218,0.880000,
1772864706.173718,f8ee2341daa836d71e1959d1,/score,200,6.1001,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1772864706.173914,14d818f402e74c2678451425,/detect_drift,200,5.9526,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.664485,0.880000,
1772864706.175865,d9d3f534bc0142adb310edd4,/score,200,6.1643,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1772864706.176170,1908899f875906353ca7098f,/score,200,6.1694,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1772864706.179773,e6b91f43d291d1b3dc6d0567,/score,200,6.4455,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1772864706.180173,33a3c62fa86739f7da3151c6,/detect_drift,200,6.4435,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.402477,0.880000,
1772864706.180385,a427e3c7d9a47760e4191005,/predict,200,6.4597,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1772864706.182204,c656ca4dfef37e203d768c18,/predict,200,6.3277,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1772864706.182621,11062e50ac127508da3b11f2,/score,200,6.4392,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1772864706.186024,b47720818fefc22a405d46c3,/predict,200,6.2375,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1772864706.186208,955431890ffb3a11bd5a89f3,/predict,200,6.0242,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1772864706.186534,3886be99e7774f5796300ccc,/predict,200,6.1392,normal,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
