timestamp,process_cpu_seconds_total,process_resident_memory_bytes,process_cpu_percent
1772884678.458499,0.000000,228245504.00,78.1000
1772884679.464064,0.000000,229523456.00,98.5000
1772884680.485203,0.000000,230785024.00,98.8000
1772884681.508437,0.000000,231997440.00,98.9000
1772884682.535479,0.000000,233095168.00,96.5000
1772884683.561261,0.000000,234127360.00,97.8000
1772884684.579905,0.000000,235290624.00,98.4000
1772884685.597918,0.000000,236552192.00,100.0000
1772884686.618891,0.000000,237813760.00,99.6000
1772884687.638666,0.000000,239058944.00,99.7000
1772884688.665349,0.000000,240304128.00,99.6000
1772884689.683371,0.000000,241483776.00,99.6000
1772884690.711643,0.000000,242647040.00,99.3000
1772884691.735591,0.000000,243843072.00,100.0000
1772884692.759788,0.000000,244989952.00,96.2000
1772884693.818241,0.000000,245989376.00,100.0000
1772884694.844238,0.000000,247185408.00,98.2000
1772884695.863933,0.000000,248381440.00,99.4000
1772884696.890419,0.000000,249528320.00,96.5000
1772884697.918425,0.000000,250691584.00,98.4000
1772884698.938132,0.000000,251887616.00,99.3000
1772884699.960384,0.000000,253018112.00,99.7000
1772884700.986612,0.000000,254115840.00,96.5000
1772884702.007715,0.000000,255262720.00,99.8000
1772884703.028256,0.000000,256393216.00,98.9000
1772884704.047490,0.000000,257507328.00,99.4000
1772884705.068092,0.000000,258637824.00,100.0000
